[2022-09-29 21:03:24 +0000] [1] [INFO] Starting gunicorn 20.1.0
[2022-09-29 21:03:24 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
[2022-09-29 21:03:24 +0000] [1] [INFO] Using worker: sync
[2022-09-29 21:03:24 +0000] [7] [INFO] Booting worker with pid: 7
[2022-09-29 21:03:25 +0000] [8] [INFO] Booting worker with pid: 8
2022-09-29 21:03:49,714 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:49,747 | INFO | 7 | views.py:index:7 | hello
2022-09-29 21:03:49,784 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:49,806 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:49,814 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:49,841 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:49,872 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:49,966 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:50,000 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:50,029 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:50,060 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:50,091 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:50,126 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:50,321 | INFO | 8 | views.py:index:7 | hello
2022-09-29 21:03:50,350 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:50,496 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:50,527 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:50,680 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:50,715 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:50,742 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:50,772 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:50,973 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:51,006 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:51,037 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:51,067 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:51,113 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:51,145 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:51,180 | INFO | 7 | views.py:index:7 | hello
2022-09-29 21:03:51,212 | INFO | 7 | views.py:index:9 | dummy log message 0
